1,3.8,3.4,2.9,2.3,1.7,1.2,0.9,1.0,1.4,2.0,2.7,3.3,3.8,4.1,4.1,4.0,3.8,3.5,3.2,3.1,3.2,3.4,3.7,3.9,14:00,4.1,-,-,06:16,0.9,19:06,3.1
2,4.0,3.9,3.6,3.0,2.3,1.6,1.1,0.9,1.0,1.5,2.2,2.9,3.5,4.0,4.2,4.1,3.8,3.5,3.1,2.9,2.8,3.0,3.3,3.7,00:07,4.0,14:11,4.2,07:06,0.9,19:44,2.8
3,4.0,4.1,4.0,3.6,3.0,2.2,1.6,1.1,1.0,1.2,1.8,2.5,3.2,3.8,4.1,4.1,3.9,3.5,3.1,2.7,2.5,2.6,2.9,3.3,01:05,4.1,15:00,4.1,07:50,0.9,20:18,2.5
4,3.7,4.1,4.2,4.0,3.5,2.9,2.2,1.6,1.2,1.2,1.6,2.2,2.9,3.5,4.0,4.1,4.0,3.6,3.1,2.7,2.3,2.2,2.4,2.8,02:00,4.2,15:01,4.1,08:30,1.1,-,-
5,3.3,3.8,4.1,4.2,3.9,3.4,2.8,2.1,1.6,1.4,1.5,2.0,2.7,3.3,3.8,4.0,4.0,3.7,3.2,2.7,2.3,2.0,2.0,2.4,03:00,4.2,15:24,4.1,09:06,1.4,21:25,2.0
6,2.9,3.4,3.8,4.1,4.1,3.7,3.2,2.6,2.1,1.8,1.7,2.0,2.5,3.1,3.6,3.9,4.0,3.8,3.4,2.9,2.3,2.0,1.8,2.0,03:24,4.1,16:00,4.0,09:37,1.7,21:58,1.8
7,2.4,2.9,3.4,3.8,4.0,3.9,3.5,3.0,2.6,2.2,2.1,2.2,2.6,3.0,3.5,3.8,4.0,3.9,3.5,3.0,2.5,2.1,1.8,1.8,04:06,4.0,16:02,4.0,10:04,2.1,22:32,1.7
8,2.0,2.5,3.0,3.4,3.7,3.8,3.6,3.3,2.9,2.6,2.4,2.4,2.7,3.1,3.5,3.8,3.9,3.9,3.6,3.2,2.7,2.2,1.9,1.7,05:00,3.8,16:17,3.9,10:24,2.4,23:07,1.7
9,1.8,2.1,2.6,3.0,3.3,3.5,3.5,3.4,3.1,2.9,2.7,2.7,2.9,3.1,3.4,3.7,3.9,3.8,3.7,3.3,2.9,2.5,2.1,1.8,06:00,3.5,16:26,3.9,10:35,2.7,23:47,1.8
10,1.8,1.9,2.2,2.6,2.9,3.2,3.3,3.3,3.2,3.1,3.0,3.0,3.1,3.3,3.5,3.7,3.8,3.8,3.7,3.4,3.1,2.7,2.4,2.1,06:24,3.3,16:29,3.8,10:34,3.0,-,-
11,1.9,1.9,2.0,2.2,2.5,2.8,3.0,3.1,3.2,3.2,3.2,3.2,3.2,3.4,3.5,3.7,3.8,3.7,3.6,3.5,3.2,2.9,2.6,2.3,16:20,3.8,-,-,00:37,1.9,-,-
12,2.1,1.9,1.9,2.0,2.2,2.4,2.7,2.9,3.0,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.7,3.7,3.6,3.5,3.3,3.1,2.9,2.6,16:00,3.7,-,-,01:46,1.9,-,-
13,2.4,2.1,2.0,1.9,1.9,2.1,2.3,2.6,2.8,3.1,3.3,3.4,3.5,3.6,3.7,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.1,2.9,15:00,3.7,-,-,03:14,1.9,-,-
14,2.7,2.4,2.2,1.9,1.8,1.8,1.9,2.2,2.5,2.9,3.2,3.4,3.6,3.7,3.7,3.7,3.6,3.5,3.4,3.3,3.3,3.3,3.2,3.2,14:00,3.7,-,-,04:33,1.7,-,-
15,3.0,2.8,2.5,2.1,1.8,1.6,1.6,1.8,2.1,2.6,3.0,3.4,3.7,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3.2,3.3,3.3,3.4,14:00,3.8,23:11,3.4,05:31,1.6,19:26,3.2
16,3.3,3.2,2.8,2.4,2.0,1.6,1.4,1.5,1.8,2.2,2.8,3.3,3.6,3.8,3.9,3.8,3.5,3.3,3.1,3.0,3.0,3.1,3.3,3.5,14:00,3.9,-,-,06:16,1.4,19:19,3.0
17,3.6,3.5,3.3,2.8,2.3,1.8,1.4,1.3,1.5,1.9,2.5,3.0,3.5,3.8,3.9,3.9,3.6,3.2,2.9,2.7,2.7,2.9,3.2,3.5,14:00,3.9,00:08,3.6,06:55,1.3,19:33,2.7
18,3.7,3.8,3.7,3.3,2.7,2.2,1.6,1.3,1.3,1.6,2.2,2.8,3.4,3.8,3.9,3.9,3.6,3.2,2.8,2.5,2.4,2.5,2.9,3.3,14:10,3.9,01:00,3.8,07:32,1.3,19:55,2.4
19,3.7,3.9,4.0,3.7,3.3,2.6,2.0,1.6,1.3,1.5,1.9,2.5,3.2,3.7,3.9,3.9,3.7,3.2,2.7,2.3,2.0,2.1,2.4,2.9,02:00,4.0,14:29,4.0,08:08,1.3,20:24,2.0
20,3.5,3.9,4.1,4.1,3.7,3.2,2.5,2.0,1.6,1.5,1.8,2.3,3.0,3.5,3.9,4.0,3.8,3.3,2.8,2.2,1.8,1.7,1.9,2.4,02:20,4.1,15:00,4.0,08:42,1.5,20:56,1.7
21,3.0,3.6,4.0,4.2,4.1,3.7,3.1,2.5,2.0,1.8,1.8,2.2,2.8,3.4,3.8,4.0,3.9,3.5,3.0,2.3,1.8,1.5,1.4,1.8,03:05,4.2,15:10,4.0,09:15,1.8,21:33,1.4
22,2.4,3.1,3.7,4.1,4.2,4.0,3.5,3.0,2.5,2.2,2.1,2.3,2.8,3.3,3.7,4.0,4.0,3.7,3.2,2.6,1.9,1.5,1.2,1.3,04:00,4.2,16:00,4.0,09:48,2.1,22:13,1.2
